team,slot,player,war
nationals,c,Adams ,0.4
nationals,c,Bard ,-1.2
nationals,c,Barrett ,1.1
nationals,c,Bateman ,1.8
nationals,c,Bilardello ,-0.7
nationals,c,Boccabella ,0.1
nationals,c,Brand ,0.7
nationals,c,Carter ,8.6
nationals,c,Fitzgerald ,2.3
nationals,c,Fletcher ,2.0
nationals,c,Flores ,0.2
nationals,c,Foote ,2.1
nationals,c,Gomes ,2.0
nationals,c,Ramos ,3.1
nationals,c,Reyes ,0.9
nationals,c,Rodríguez ,-0.1
nationals,c,Ruiz ,1.5
nationals,c,Santovenia ,1.5
nationals,c,Schneider ,3.5
nationals,c,Suzuki ,-0.4
nationals,c,Widger ,1.1
nationals,c,Wieters ,0.4
nationals,1b,Adams ,0.6
nationals,1b,Bailey ,1.1
nationals,1b,Bell ,3.3
nationals,1b,Boone ,-0.6
nationals,1b,Colbrunn ,-0.5
nationals,1b,Cordero ,0.4
nationals,1b,Cromartie ,2.1
nationals,1b,Driessen ,0.9
nationals,1b,Dunn ,2.5
nationals,1b,Fairly ,4.1
nationals,1b,Floyd ,0.2
nationals,1b,Francona ,1.3
nationals,1b,Fullmer ,0.0
nationals,1b,Galarraga ,5.7
nationals,1b,Gallo ,0.3
nationals,1b,Johnson ,5.0
nationals,1b,Jorgensen ,4.2
nationals,1b,LaRoche ,4.2
nationals,1b,Lowe ,-0.3
nationals,1b,Morse ,3.4
nationals,1b,Oliver ,5.3
nationals,1b,Pérez ,3.3
nationals,1b,Segui ,2.1
nationals,1b,Smith ,0.9
nationals,1b,Stevens ,0.7
nationals,1b,Thames ,-0.4
nationals,1b,Wallach ,0.4
nationals,1b,Wilkerson ,5.1
nationals,1b,Young ,0.3
nationals,1b,Zimmerman ,2.7
nationals,2b,Belliard ,2.0
nationals,2b,Cash ,2.1
nationals,2b,Cox ,-0.3
nationals,2b,DeShields ,4.0
nationals,2b,Difo ,-0.2
nationals,2b,Dozier ,1.3
nationals,2b,Espinosa ,2.9
nationals,2b,Flynn ,-0.2
nationals,2b,Foley ,1.5
nationals,2b,García ,2.2
nationals,2b,Harrison ,2.6
nationals,2b,Hernández ,0.5
nationals,2b,Hunt ,5.1
nationals,2b,Kennedy ,0.6
nationals,2b,Lansing ,3.9
nationals,2b,Law ,3.8
nationals,2b,López ,-1.7
nationals,2b,Mackanin ,0.4
nationals,2b,Murphy ,4.7
nationals,2b,Rendon ,0.4
nationals,2b,Scott ,1.0
nationals,2b,Sutherland ,-0.6
nationals,2b,Vidro ,5.4
nationals,3b,Andrews ,2.0
nationals,3b,Bailey ,4.9
nationals,3b,Barberie ,0.5
nationals,3b,Batista ,-0.2
nationals,3b,Berry ,2.4
nationals,3b,Blum ,-1.1
nationals,3b,Candelario ,3.1
nationals,3b,Carroll ,0.2
nationals,3b,Castilla ,0.8
nationals,3b,Castro ,1.1
nationals,3b,Escobar ,2.1
nationals,3b,Franco ,-1.2
nationals,3b,House ,-0.6
nationals,3b,Hunt ,1.6
nationals,3b,Kieboom ,0.2
nationals,3b,Laboy ,2.6
nationals,3b,Lipscomb ,-0.1
nationals,3b,Mordecai ,0.5
nationals,3b,Parrish ,4.6
nationals,3b,Rendon ,7.3
nationals,3b,Strange ,1.2
nationals,3b,Tatís ,-0.3
nationals,3b,Wallach ,6.1
nationals,3b,Zimmerman ,7.3
nationals,ss,Abrams ,3.5
nationals,ss,Brooks ,4.7
nationals,ss,Cabrera ,3.7
nationals,ss,Clayton ,-0.4
nationals,ss,Cordero ,3.1
nationals,ss,Desmond ,4.4
nationals,ss,Espinosa ,1.7
nationals,ss,Foli ,1.9
nationals,ss,García ,0.0
nationals,ss,Grudzielanek ,2.3
nationals,ss,Guzmán ,4.6
nationals,ss,López ,-0.5
nationals,ss,Owen ,2.5
nationals,ss,Rivera ,-0.4
nationals,ss,Salazar ,-1.0
nationals,ss,Speier ,3.1
nationals,ss,Turner ,4.9
nationals,ss,Wine ,0.2
nationals,of,Alou ,5.1
nationals,of,Ankiel ,1.7
nationals,of,Bailey ,2.6
nationals,of,Bergeron ,-1.0
nationals,of,Bernadina ,0.6
nationals,of,Brooks ,2.6
nationals,of,Byrd ,1.2
nationals,of,Calderón ,3.3
nationals,of,Call ,1.0
nationals,of,Carter ,3.3
nationals,of,Church ,3.3
nationals,of,Chávez ,1.8
nationals,of,Crews ,0.3
nationals,of,Cromartie ,4.5
nationals,of,Davis ,2.9
nationals,of,Dawson ,7.9
nationals,of,Day ,3.0
nationals,of,Dukes ,-0.3
nationals,of,Eaton ,1.8
nationals,of,Fairey ,-0.3
nationals,of,Fairly ,4.5
